elapsed (s);x-axis (g);y-axis (g);z-axis (g)
4.530;-0.053;-0.092;0.987
4.540;-0.061;-0.095;0.982
4.550;-0.062;-0.098;0.989
4.560;-0.062;-0.097;0.991
4.570;-0.061;-0.097;1.001
4.580;-0.061;-0.095;1.017
4.590;-0.057;-0.093;1.024
4.600;-0.055;-0.088;1.030
4.610;-0.056;-0.088;1.031
4.620;-0.049;-0.086;1.035
4.630;-0.036;-0.085;1.052
4.640;-0.030;-0.078;1.051
4.650;-0.025;-0.075;1.047
4.660;-0.030;-0.082;1.040
4.670;-0.028;-0.072;1.013
4.680;-0.021;-0.069;0.979
4.690;-0.025;-0.083;0.968
4.700;-0.011;-0.060;0.970
4.710;-0.009;-0.041;0.988
4.720;-0.020;-0.045;1.026
4.730;-0.018;-0.036;1.050
4.740;-0.013;-0.024;1.056
4.750;-0.005;-0.018;1.055
4.760;-0.006;-0.026;1.048
4.770;-0.010;-0.032;1.039
4.780;-0.011;-0.031;1.023
4.790;-0.017;-0.062;1.009
4.800;-0.021;-0.061;1.008
4.810;-0.019;-0.053;0.993
4.820;-0.016;-0.051;0.986
4.830;-0.012;-0.057;0.989
4.840;-0.012;-0.064;0.990
4.850;-0.011;-0.068;0.993
4.860;-0.012;-0.064;0.988
4.870;-0.014;-0.057;0.982
4.880;-0.017;-0.059;0.983
4.890;-0.025;-0.066;0.979
4.900;-0.033;-0.069;0.975
4.910;-0.035;-0.061;0.990
4.920;-0.031;-0.060;1.016
4.930;-0.036;-0.059;1.042
4.940;-0.035;-0.060;1.062
4.950;-0.035;-0.064;1.070
4.960;-0.035;-0.067;1.068
4.970;-0.028;-0.067;1.060
4.980;-0.026;-0.072;1.056
4.990;-0.028;-0.076;1.061
5.000;-0.026;-0.069;1.072
5.010;-0.022;-0.062;1.085
5.020;-0.019;-0.061;1.090
5.030;-0.019;-0.064;1.077
5.040;-0.020;-0.067;1.070
5.050;-0.017;-0.061;1.069
5.060;-0.015;-0.063;1.075
5.070;-0.016;-0.065;1.075
5.080;-0.018;-0.062;1.074
5.090;-0.019;-0.059;1.079
5.100;-0.020;-0.061;1.073
5.110;-0.021;-0.062;1.062
5.120;-0.026;-0.061;1.050
5.130;-0.025;-0.062;1.044
5.140;-0.024;-0.062;1.043
5.150;-0.021;-0.065;1.042
5.160;-0.023;-0.062;1.041
5.170;-0.020;-0.052;1.032
5.180;-0.023;-0.049;1.024
5.190;-0.027;-0.052;1.020
5.200;-0.028;-0.053;1.013
5.210;-0.031;-0.056;1.002
5.220;-0.030;-0.055;1.001
5.230;-0.024;-0.057;1.000
5.240;-0.022;-0.062;0.993
5.250;-0.021;-0.061;0.989
5.260;-0.022;-0.064;0.979
5.270;-0.023;-0.068;0.970
5.280;-0.023;-0.073;0.976
5.290;-0.027;-0.083;0.975
5.300;-0.029;-0.085;0.973
5.310;-0.026;-0.085;0.967
5.320;-0.020;-0.086;0.969
5.330;-0.019;-0.086;0.975
5.340;-0.017;-0.083;0.976
5.350;-0.019;-0.081;0.983
5.360;-0.021;-0.082;0.996
5.370;-0.021;-0.078;0.997
5.380;-0.022;-0.074;1.000
5.390;-0.023;-0.075;1.003
5.400;-0.022;-0.076;1.007
5.410;-0.019;-0.077;1.005
5.420;-0.022;-0.081;1.004
5.430;-0.020;-0.081;1.005
5.440;-0.017;-0.077;1.004
5.450;-0.018;-0.082;1.004
5.460;-0.018;-0.084;1.008
5.470;-0.013;-0.082;1.013
5.480;-0.014;-0.084;1.018
5.490;-0.013;-0.087;1.018
5.500;-0.014;-0.085;1.018
5.510;-0.020;-0.089;1.021
5.520;-0.019;-0.091;1.019
5.530;-0.017;-0.094;1.014
5.540;-0.014;-0.096;1.019
5.550;-0.018;-0.099;1.014
5.560;-0.021;-0.097;1.015
5.570;-0.021;-0.098;1.021
5.580;-0.021;-0.098;1.023
5.590;-0.019;-0.096;1.032
5.600;-0.019;-0.097;1.036
5.610;-0.018;-0.092;1.040
5.620;-0.020;-0.088;1.045
5.630;-0.019;-0.092;1.050
5.640;-0.017;-0.092;1.051
5.650;-0.020;-0.091;1.052
5.660;-0.021;-0.096;1.048
